ARISHTAS & ASAVAS,,,,,,,
Amritadi Tailam*,FG0002,200ml,133.3,140,1 ml,0.67,0.7
Anu Tailam*,FG0001,10ml,85.7,90,-,-,-
Aranyatulsyadi Kera Tailam,FG0012,200ml,133.9,150,1 ml,0.67,0.75
Arimedadi Tailam,FG0004,200ml,152.35,160,1 ml,0.77,0.8
Arukuladi Tailam*,FG0011,200ml,138.05,145,1 ml,0.7,0.73
Asanailadi Kera Tailam,FG0147,200ml,174.1,195,1 ml,0.88,0.98
Asanadi Tailam*,FG0009,200ml,183,205,1 ml,0.92,1.03
Asanamanjishthadi Tailam,FG0008,200ml,156.25,175,1 ml,0.79,0.88
Asanavilwadi Keratailam*,FG0146,200ml,138.05,145,1 ml,0.7,0.73
Asanavaladi Tailam*,FG0007,200ml,142.85,150,1 ml,0.72,0.75
Aswagandhadi Yamakam,FG0006,200ml,160.7,180,1 ml,0.81,0.9
Ayyappala Kera Tailam,FG0166,200ml,156.25,175,1 ml,0.79,0.88
Ayyappala Kera Tailam,FG0205,500ml,379.45,425,,,
Bala Tailam*,FG0164,10ml,61.9,65,,,
Baladhathryadi Tailam*,FG0093,200ml,247.6,260,1 ml,1.24,1.3
Balaguluchyadi Kera Tailam*,FG0151,200ml,133.3,140,1 ml,0.67,0.7
Balaguluchyadi Tailam*,FG0091,200ml,142.85,150,1 ml,0.72,0.75
BalaHatadi Tailam*,FG0096,200ml,142.85,150,1 ml,0.72,0.75
Balathathadi keratatailam*,FG0187,200ml,157.1,165,1 ml,0.79,0.83
Balasodhini Tailam,FG0178,50ml,49.1,55,1 ml,-,-
Balaswagandhadi kuzhampu*,FG0094,200ml,195.2,205,1 ml,0.98,1.03
Balaswagandhadi Tailam*,FG0095,200ml,200,210,1 ml,1,1.05
Brahmhee Tailam,FG0098,200ml,129.45,145,1 ml,0.65,0.73
Chemparuthyadi Kera Tailam,FG0041,200ml,133.9,150,1 ml,0.67,0.75
Chemparuthyadi Kera Tailam,FG0203,500ml,325.85,365,,,
Cheriya Bhringamaladi Tailam*,FG0099,200ml,166.65,175,1 ml,0.84,0.88
Cheriya Chandanadi Tailam*,FG0037,200ml,147.6,155,1 ml,0.74,0.78
Cheriya Chinchadi Tailam*,FG0039,200ml,138.05,145,1 ml,0.7,0.73
Cheriya Lakshadi Tailam*,FG0114,200ml,161.9,170,1 ml,0.81,0.85
Cheriya Narayana Tailam*,FG0065,200ml,285.7,300,1 ml,1.43,1.5
Cheriya Prasarani Tailam*,FG0089,200ml,176.15,185,1 ml,0.89,0.93
Cheriya Sahacharadi Tailam*,FG0130,200ml,176.15,185,1 ml,0.89,0.93
Dhanvantaram Mezhukupakam,FG0177,200ml,238.05,250,1 ml,1.2,1.25
Dhanwantaram kuzhampu*,FG0054,200ml,171.4,180,1 ml,0.86,0.9
Dhanwantaram kuzhampu*,FG0173,500ml,395.2,415,,,
Dhanwantaram Tailam*,FG0055,200ml,200,210,1 ml,1,1.05
Dhanwantaram Tailam*,FG0172,500ml,461.9,485,-,-,-
Dhanwantaram tailam (21)*,FG0180,50ml,195.2,205,-,-,-
Dhanwantaram Tailam (7)*,FG0179,50ml,138.05,145,,,
Dhanwantharam (101)*,FG0061,10ml,138.05,145,-,-,-
Dhurdhooradi Tailam*,FG0062,200ml,142.85,150,1 ml,0.72,0.75
Dhurdhurapatradi Kera Tailam*,FG0063,200ml,190.45,200,1 ml,0.96,1
Dinesavalyadi Kera Tailam,FG0193,200ml,157.1,165,1 ml,0.79,0.83
Dinesavalyadi Kuzhampu*,FG0052,200ml,147.6,155,1 ml,0.74,0.78
Durvadi Kera Tailam,FG0053,200ml,142.85,160,1 ml,0.72,0.8
Eladi Kera Tailam*,FG0014,200ml,200,210,1 ml,1,1.05
Eladi Kera Tailam*,FG0200,500ml,485.7,510,,,
Eladi Tailam*,FG0013,200ml,200,210,1 ml,1,1.05
Gandha Tailam*,FG0163,10ml,90.45,95,,,
Gandhakatailam,FG0188,50ml,31.25,35,-,-,-
Gandharvahastadi Erandatailam*,FG0196,50ml,38.05,40,,,
Gandharvahastadi Erandatailam*,FG0036,200ml,133.3,140,1 ml,0.67,0.7
 Himgutriguna Tailam*,FG0139,200ml,271.4,285,1 ml,1.36,1.43
Himgutriguna Tailam*,FG0138,200ml,257.1,270,1 ml,1.29,1.35
Jathyadi Kera Tailam*,FG0042,200ml,142.85,150,1 ml,0.72,0.75
Jivantyadi yamakam*,FG0197,50ml,42.85,45,,,
Jivantyadi yamakam*,FG0044,200ml,142.85,150,1 ml,0.72,0.75
Kadalipladi Tailam,FG0017,200ml,111.6,125,1 ml,0.56,0.63
Karpasasthyadi Kuzhampu*,FG0021,200ml,142.85,150,1 ml,0.72,0.75
Karpasasthyadi Tailam*,FG0020,200ml,152.35,160,1 ml,0.77,0.8
Karpuradi Tailam,FG0019,200ml,142.85,160,1 ml,0.72,0.8
Karpuradi Tailam,FG0201,500ml,348.2,390,,,
Kayyanyadi Kera Tailam*,FG0148,200ml,166.65,175,1 ml,0.84,0.88
Kayyanyadi Tailam*,FG0018,200ml,147.6,155,1 ml,0.74,0.78
Khajjita Pinda Tailam,FG0195,50gm,71.4,80,,,
Khajjita Pinda Tailam,FG0161,200gm,232.1,260,1 g,1.17,1.3
Kimsukapatradi Kera Tailam,FG0022,200ml,129.45,145,1 ml,0.65,0.73
Kottamchukkadi Tailam*,FG0025,200ml,142.85,150,1 ml,0.72,0.75
Kottamchukkadi Tailam*,FG0202,500ml,347.6,365,,,
Ksharatatailam*,FG0206,10ml,38.05,40,,,
Ksharatatailam*,FG0181,50ml,71.4,75,,,
Kshirabala (101)*,FG0033,10ml,119,125,-,-,-
Kshirabala (21)*,FG0183,50ml,195.2,205,,,
Kshirabala (7)*,FG0182,50ml,133.3,140,,,
Kshirabalatailam*,FG0027,200ml,176.15,185,1 ml,0.89,0.93
Kunkumadi Tailam*,FG0023,10ml,480.95,505,-,-,-
Kuntalakantaitailam,FG0024,200ml,227.65,255,1 ml,1.14,1.28
Lakshadi Kuzhampu*,FG0116,200ml,166.65,175,1 ml,0.84,0.88
Lakshadi Kera Tailam*,FG0117,200ml,176.15,185,1 ml,0.89,0.93
Madhudyastyadi Tailam*,FG0102,200ml,209.5,220,1 ml,1.05,1.1
Mahabala Tailam*,FG0105,200ml,323.8,340,1 ml,1.62,1.7
Mahakukkutamsaka Tailam*,FG0104,200ml,314.25,330,1 ml,1.58,1.65
Mahamasha Tailam*,FG0106,200ml,342.85,360,1 ml,1.72,1.8
Mahaprasarani Tailam*,FG0165,10ml,95.2,100,,,
Mahavajraka Tailam*,FG0108,200ml,152.35,160,1 ml,0.77,0.8
Malatyadi Tailam*,FG0109,200ml,157.1,165,1 ml,0.79,0.83
Malatyadi Kera Tailam*,FG0152,200ml,157.1,165,1 ml,0.79,0.83
Manjishthadi Tailam*,FG0101,200ml,142.85,150,1 ml,0.72,0.75
Marichadi Tailam,FG0103,200ml,120.5,135,1 ml,0.61,0.68
Murivenna,FG0145,200ml,142.85,160,1 ml,0.72,0.75
Murivenna,FG0176,500ml,330.35,370,,,
Nagaradi Tailam*,FG0064,200ml,261.9,275,1 ml,1.31,1.38
Nalpamradi Kera Tailam*,FG0068,200ml,157.1,165,1 ml,0.79,0.83
Nalparmadi Tailam*,FG0067,200ml,157.1,165,1 ml,0.79,0.83
Nasarsastailam,FG0184,50ml,35.7,40,,,
Nilibhringadi Keratailam*,FG0075,200ml,219,230,1 ml,1.1,1.15
Nilibhringadi Keratailam*,FG0204,500ml,533.3,560,,,
Nilibhringadi Tailam*,FG0074,200ml,219,230,1 ml,1.1,1.15
Nilidaladi Kera Tailam,FG0076,200ml,125,140,1 ml,0.63,0.7
Nimbadi Tailam,FG0070,200ml,174.1,195,1 ml,0.88,0.98
Nimbamritadi Eranda Tailam*,FG0198,50ml,52.35,55,,,
Nimbamritadi Eranda Tailam*,FG0072,200ml,176.15,185,1 ml,0.89,0.93
Nimbamritadi Tailam*,FG0071,200ml,200,210,1 ml,1,1.05
Nisosirardi Tailam,FG0073,200ml,228.55,240,1 ml,1.15,1.2
Nonganadi Eranda Tailam*,FG0077,200ml,138.05,145,1 ml,0.7,0.73
Palandavairanda Tailam,FG0084,200ml,133.9,150,1 ml,0.67,0.75
Pamanthaka Tailam,FG0082,200ml,125,140,1 ml,0.63,0.7
Panchamla Tailam,FG0079,200ml,142.85,160,1 ml,0.72,0.8
Panchavalkadi Kera Tailam*,FG0150,200ml,147.6,155,1 ml,0.74,0.78
Panchavalkadi Tailam*,FG0078,200ml,142.85,150,1 ml,0.72,0.75
Paranthyadi Kera Tailam,FG0083,200ml,183,205,1 ml,0.92,1.03
Parintakekshiriradadi Tailam*,FG0081,200ml,176.15,185,1 ml,0.89,0.93
Pinda Tailam,FG0085,200ml,165.15,185,1 ml,0.83,0.93
Pinda Tailam,FG0174,500ml,375,420,-,-,-
Prabhinjanavimardanamkuzhambu*,FG0088,200ml,166.65,175,1 ml,0.84,0.88
Prapundarikadi Tailam*,FG0087,200ml,147.6,155,1 ml,0.74,0.78
Punarnavadi Tailam,FG0086,200ml,138.35,155,1 ml,0.7,0.78
Rasnadasamooladi Tailam,FG0113,200ml,138.35,155,1 ml,0.7,0.78
Rasnadi Tailam,FG0112,200ml,133.9,150,1 ml,0.67,0.75
Sahacharadi (Mezhukupakam/Chikkanapakam)*,FG0190,200ml,242.85,255,1 ml,1.22,1.28
Sahacharadi Kuzhampu*,FG0175,500ml,452.35,475,-,-,-
Sahacharadi kuzhampu* (7),FG0134,200ml,195.2,205,1 ml,0.98,1.03
Sahacharadi Tailam (7)*,FG0185,50ml,138.05,145,,,
Sudhabala Tailam*,FG0127,200ml,142.85,150,1 ml,0.72,0.75
Surasadi Tailam*,FG0136,200ml,171.4,180,1 ml,0.86,0.9
Tekarajatayadi Tailam*,FG0048,200ml,200,210,1 ml,1,1.05
Thenginghpushpadi Tailam*,FG0045,200ml,176.15,185,1 ml,0.89,0.93
Thriphaladi Kera Tailam,FG0149,200ml,171.4,180,1 ml,0.86,0.9
Thriphaladi Tailam,FG0051,200ml,157.1,165,1 ml,0.79,0.83
Thulasyadi Tailam*,FG0047,200ml,152.35,160,1 ml,0.77,0.8
Thungadrumadi Tailam*,FG0046,200ml,285.7,300,1 ml,1.43,1.5
Trivritasneham,FG0050,200ml,80.35,90,1 ml,0.41,0.45
Vschadi Tailam*,FG0118,200ml,142.85,150,1 ml,0.72,0.75
Valachalasunadi keratailam*,FG0207,10ml,33.3,35,,,
Valachalasunadi keratailam*,FG0186,50ml,47.6,50,,,
Vajreka Tailam*,FG0120,200ml,142.85,150,1 ml,0.72,0.75
Valiya Amritadi Tailam,FG0003,200ml,209.8,235,1 ml,1.05,1.18
Valiya Arimedastailam*,FG0005,200ml,200,210,1 ml,1,1.05
Valiya Bhringamaladi Tailam*,FG0100,200ml,165.15,185,1 ml,0.83,0.93
Valiya Chandanadi Tailam*,FG0038,200ml,285.7,300,1 ml,1.43,1.5
Valiya Chinchadi Tailam*,FG0040,200ml,157.1,165,1 ml,0.79,0.83
Valiya Lakshadi Tailam,FG0115,200ml,190.45,200,1 ml,0.96,1
Valiya Narayana Tailam*,FG0066,200ml,252.35,265,1 ml,1.27,1.33
Valiya Prasarani Tailam*,FG0090,200ml,323.8,340,1 ml,1.62,1.7
Valiya Sahacharadi Tailam*,FG0133,200ml,195.2,205,1 ml,0.98,1.03
Vatamardhanam Kuzhampu,FG0121,200ml,111.6,125,1 ml,0.56,0.63
Vatasani Tailam*,FG0122,200ml,223.8,235,1 ml,1.12,1.18
Venupatradi Kera Tailam,FG0125,200ml,245.5,275,1 ml,1.23,1.38
Vilwampachotyadi Tailam*,FG0124,200ml,171.4,180,1 ml,0.86,0.9
Vilwapathradi Tailam,FG0123,200ml,178.55,200,1 ml,0.9,1
Vlranaropana Tailam,FG0126,200ml,142.85,160,1 ml,0.72,0.8
Yashtimadhukadi Keratailam,FG0110,200ml,107.1,120,1 ml,0.54,0.6
Yuvatyadi Tailam,FG0111,200ml,227.65,255,1 ml,1.14,1.28
,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Bala Tailam*,FG0170,100Nos,395,415,1 no,3.95,4.15
Dhanvantaram (101)*,FG0168,100Nos,619,650,1no,6.19,6.5
Gandha Tailam*,FG0169,100Nos,538,565,1no,5.38,5.65
Gandharvahastadi Eranda Tailam,FG0208,100Nos,491,550,1no,4.91,5.5
Kshirabala (101)*,FG0167,100Nos,576,605,1 no,5.76,6.05
Mahajaraprasarani Tailam*,FG0171,100Nos,571,600,1no,5.71,6
,,,,,,,
,,,,,,,
GHRITHAM SOFT GEL CAPSULES,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Guggulu tiktata ghritam,FGG164,100Nos,625,700,1 g,6.25,7
Maha tiktaka ghritam,FGG165,100Nos,580,650,1 g,5.8,6.5
Misrakasneham,FGG166,100Nos,446,500,1 g,4.46,5
,,,,,,,
RASAKRIYAS,,,,,,,
,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Elaneer Kuzhampu*,FGR001,10ml,71.4,75,-,-,-
Kachayanam Kuzhampu*,FGR003,10ml,76.15,80,-,-,-
Nayanamritam Kuzhampu*,FGR004,10ml,752.35,790,-,-,-
Nethramritam,FGR007,10ml,40.15,45,-,-,-
Samksritamadhu,FGR006,250gm,129.45,145,1 g,0.52,0.58
,,,,,,,
GULIKA OR PILLS,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Agnikumararn Gulkika*,FGT001,100Nos,190,200,1 no,1.9,2
Arogya vardhini Gulika*,FGT064,30No,71.4,75,,,
Asalyadi Gulika,FGT005,100Nos,178,200,1 no,1.78,2
Brihalkasthoori bhairavam*,FGT029,100Nos,4057,4260,1 no,40.57,42.6
Brihathvatha Chintamanirasam,FGT073,10Nos,1714,1920,,,
Bukthanjaari Gulika*,FGT030,100Nos,390,410,1 no,3.9,4.1
Chandraprabha Vatika*,FGT017,100Nos,261,275,1 no,2.61,2.75
Cheriya Anthrakudararn gulika,FGT003,100Nos,178,200,1 no,1.78,2
Chukkumthippalyadi Gulika*,FGT019,100Nos,185,195,1 no,1.85,1.95
Dhanwantaram Gulika*,FGT022,100Nos,190,200,1 no,1.9,2
Dushvishari Gulika,FGT066,30Nos,85.7,90,,,
Gopeechandanadi Gulika,FGT014,100Nos,178,200,1 no,1.78,2
Gorohanadi Gulika,FGT015,100Nos,1901,2130,1 no,19.01,21.3
Guggulupanchalapachurnam Tablet,FGT071,100Nos,142,150,1 no,1.42,1.5
Himguadi Gulika*,FGT065,30Nos,104,110,,,
Hridaryarnavarasam Gulika*,FGT053,100Nos,242,255,1no,2.42,2.55
Kaisora Guggulu Vatika*,FGT011,100Nos,361,380,1 no,3.61,3.8
Kaivishparihari Gulika,FGT010,1no,185.1,185,-,-,-
Kanchanara Guggulu,FGT060,100Nos,227,255,1 no,2.27,2.55
Kankayanam Gulika*,FGT007,100Nos,338,355,1 no,3.38,3.55
Karutha Gulika*,FGT006,100nos,480,505,1 no,4.8,5.05
Krimighna Vatika,FGT008,100nos,241,270,1 no,2.41,2.7
Krimisodhini,FGT009,100nos,214,240,1 no,2.14,2.4
Lakshmivilasarasam (Naradiyam),FGT061,100nos,258,280,1 no,2.58,2.8
Lakshaguggulu Tablet,FGT069,60nos,114,120,,,
Mahadhanwantaram Tablet (Garbharakshini),FGT074,100nos,178,200,1 no,1.78,2
Mahasudarsanam Tablet,FGT013,30nos,89,100,,,
Manasamrita Vatakam*,FGT034,100nos,3657,3840,1 no,36.57,38.4
Mandoora Vatakam*,FGT031,100nos,400,420,1 no,4,4.2
Mukkamukkatuvadi Gulika*,FGT035,100nos,185,195,1 no,1.85,1.95
Nirgundyadi Gulika*,FGT023,100nos,178,200,1 no,1.78,2
Niruryadi Gulika*,FGT024,100nos,247,260,1 no,2.47,2.6
Patadi Gulika,FGT026,100nos,183,205,1 no,1.83,2.05
Patupanchakadi Gulika*,FGT025,100nos,400,420,1 no,4,4.2
Punarnavadi Manduram,FGT059,30No,58,65,1 no,1.93,2.17
Rajahprvarthini Vati,FGT062,30No,66.9,75,1 no,2.23,2.5
Saptamritalaulam Tablet,FGT070,60nos,85.5,90,,,
Sarpagandhadi Gulika,FGT047,100nos,241,270,1 no,2.41,2.7
Shaddharnachurnam Tablet,FGT063,30No,138.3,155,1 no,4.61,5.17
Sukhabhedi Gulika,FGT072,30nos,107,120,1 no,3.57,4
Suryaprabha*,FGT057,100nos,185,195,1 no,1.85,1.95
Suvarnamukthadi Gulika*,FGT050,100Nos,2552,2680,1 no,25.52,26.8
Swasandam Gulika*,FGT045,100nos,185,195,1 no,1.85,1.95
Swethagunjadi Gulika,FGT067,30nos,71,80,,,
Triphala Guggulu Tablet,FGT068,60nos,114,120,,,
Valiya Anthrakutaram Gulika*,FGT004,100nos,247,260,1 no,2.47,2.6
Valiya Marma Gulika*,FGT033,100nos,452,475,1 no,4.52,4.75
Vayyugulika,FGT039,100nos,1258,1410,1 no,12.58,14.1
Vettumaran Gulika*,FGT056,100nos,185,195,1 no,1.85,1.95
Vilwadi Gulika*,FGT042,100nos,380,400,1 no,3.8,4
Virechana Gulika*,FGT041,100nos,321,360,1 no,3.21,3.6
Yogaraja Guggulu Vatika*,FGT038,100nos,314,330,1 no,3.14,3.3
,,,,,,,
NEW GENARATION PRODUCT,,,,,,,
,,,,,,,
Product Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Acidact Tablet,FGK700,100nos,415,465,1 no,4.15,4.65
C-Health granule,FGU705,250g,267.85,300,,,
C-Health Sugar Free granule,FGU706,250g,267.85,300,,,
Crackot Ointment,FGE703,25g,62.5,70,,,
Dhanwantharam Cream,FGE001,25g,49.1,55,,,
Eladi cream,FGE705,25g,62.5,70,,,
Geniekot Syrup,FGK712,200ml,142.85,160,,,
Glysikot granule,FGU701,150g,218.75,245,,,
Glysikot Tablet,FGK723,60Nos,178,200,,,
Gynakot,FGK706,100Nos,696,780,1 no,6.96,7.8
H.T.Kot,FGK715,100Nos,281,315,1 no,2.81,3.15
Haemkot Syrup,FGK716,200ml,125,140,,,
Indukantammritam Syrup,FGK300,200ml,160.7,180,,,
Keshyam Oil,FG0701,100ml,178.55,200,,,
Lactokot Granule,FGU708,200g,290.15,325,,,
Leutab Tablet,FGK709,100nos,477,535,1 no,4.77,5.35
Livokot Tablet,FGK701,100nos,468,525,1 no,4.68,5.25
Mensokot Syrup,FGK711,200ml,133.9,150,,,
Mensokot Tablet,FGK710,100nos,629,705,1 no,6.29,7.05
Migrakot Oil,FG0700,100ml,142.85,160,,,
Migrakot Tablet,FGK702,100nos,415,465,1 no,4.15,4.65
Ostikot Tablet,FGK707,100nos,517,580,1 no,5.17,5.8
Pilocid Tablet,FGK703,100nos,441,495,1 no,4.41,4.95
Pilocid Gel,FGE700,25g,62.5,70,,,
Psorakot Gel,FGE701,25g,62.5,70,,,
Psorakot Gel,FGE709,50g,120.5,135,,,
Psorakot Tablet,FGK704,100nos,571,640,1 no,5.71,6.4
Respikot Syrup,FGK719,200ml,98.2,110,,,
Respikot Tablet,FGK708,100nos,571,640,1 no,5.71,6.4
Rhukot Gel,FGE702,25g,62.5,70,,,
Rhukot Liniment,FG0704,60ml,129.45,145,,,
Rhukot Liniment,FG0702,100ml,205.35,230,,,
Rhukot Plus Cream,FGE704,25g,71.4,80,,,
Rhukot Tablet,FGK705,100nos,508,570,1 no,5.08,5.7
Spermakot granule,FGU702,150g,357.1,400,,,
Spermakot Tablet,FGK718,100nos,325,365,1no,3.25,3.65
Talisule Granule,FGU700,100gm,84.8,95,,,
Triphala Tablet*,FGK717,60nos,147,155,,,
Vasakot SF Syrup,FGK720,100ml,71.4,80,,,
Vasakot Syrup,FGK714,100ml,71.4,80,,,
,,,,,,,
OTHER PATENT and properity medicine,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,Loose Unit,Basic Price,MRP
Aswagandha Tablet,FGK721,60nos,133.33,140,,,
Atmagupta Tablet,FGK724,60nos,219.04,230,,,
Murivenna Cream,FGE713,30G,85.7,90,,,
Brahmi Caps,FGS001,60nos,178.5,200,,,
Carmikot,FGM001,200ml,89.25,100,,,
Guggulu Tablet,FGK725,60nos,190.47,200,,,
Nostricap,FGS002,100nos,535,600,1 no,5.35,6
Potikkizhi Choornapindam,FGC701,1nos,267.8,300,,,
Samsamani Vati (Sidhi Esant),FGK722,60nos,133.33,140,,,
Swarnabinduprasam,FGG162,10ml,666.65,700,1ml,85.7,90
,,,,,,,
PERSONAL CARE,,,,,,,
,,,,,,,
Product Name,Code,Unit,Basic Price,MRP,,,
Ayush Kwath Churnam*,FGC354,100g,142.85,150,,,
Chyavanules,FGU710,250g,267.85,300,,,
C-Health Forte,FGU709,200g,223.2,250,,,
Pain Balm,FGE002,25g,71.4,80,,,
Pain Spray,FGE007,60ml,133.9,150,,,
Vibha Hair Care Cream**,FGE707,100g,177.95,210,,,
Vibha Skin Care Cream**,FGE708,25g,67.75,80,,,
Vibha Ayurvedic bath soap**,FGK120,75g,42.3,50,,,
Kottakkal Ayurveda Aswas Inhaler,FGS707,1Nos,44.6,50,,,
Kottakkal Ayurveda Skin Care Soap**,FGP001,75g,38.1,45,,,
Kottakkal Ayurveda Skin Protection Soap**,FGP002,75g,38.1,45,,,
Kottakkal Ayurveda Baby Glow Soap**,FGP003,75g,42.3,50,,,
Kottakkal Ayurveda Baby Oil (Virgin Coconut Oil)**,FGP011,100ml,148.3,175,,,
Kottakkal Ayurveda Hair Nourishing Shampoo**,FGP013,4ml,1.65,2,,,
Kottakkal Ayurveda Hair Nourishing Shampoo**,FGP015,100ml,72,85,,,
Kottakkal Ayurveda Hair Nourishing Shampoo**,FGP016,200ml,131.35,155,,,
Kottakkal Ayurveda Hair Nourishing Oil**,FG0501,150ml,309.3,365,,,
Kottakkal Ayurveda Anti Dandruff Hair Oil**,FG0502,150ml,309.3,365,,,
Kottakkal Ayurveda Anti Dandruff Shampoo**,FGP019,4ml,1.65,2,,,
Kottakkal Ayurveda Anti Dandruff Shampoo**,FGP017,100ml,80.5,95,,,
Kottakkal Ayurveda Anti Dandruff Shampoo**,FGP018,200ml,152.5,180,,,
Saffronsilk**,FGP025,10ml,783.85,925,,,
Saffronglow**,FGP025,1Nos,211.8,250,,,
,,,,,,,
EXTRA MEDICINE,,,,,,,
Medicine Name,Code,Unit,Basic Price,MRP,,,
EXERFER,ABC,10NOS,0,55,,,
CERVILION,ABC,10NOS,0,120,,,
Misrakasneha SITHARAM,ABC,4NOS,0,36,,,
LUMBATON PLAIN,ABC,10NOS,0,68.5,,,
LUMBATON PLUS,ABC,10NOS,0,121,,,
ANULOMA DS,ABC,10NOS,0,62.5,,,
ZEOTONE,ABC,10NOS,0,110,,,
BURCALVIN,ABC,10NOS,0,115,,,
THREYODESHANGAM GULUGULU,ABC,15NOS,0,50.25,,,
KOMBANCHADI,ABC,200Nos,0,480,,,
AMRUTAGULGULU,ABC,15NOS,0,45,,,
HISTANTIN,ABC,10NOS,0,55,,,
BIOGEST,ABC,10NOS,0,60,,,
KM LEPAM,ABC,20G,0,90,,,
RASOTHAMADI LEPAM,ABC,15G,0,65,,,
STIFAIN,ABC,20NOS,0,225,,,
ULSET,ABC,100ML,0,150,,,
ORTHO HERB OIL,ABC,100ML,0,140,,,
KUMKUMADI LEPANA,ABC,15G,0,100,,,
THENGINPOOKULA LEHYAM SITARAM,ABC,400G,0,230,,,
THENGINPOOKULA KANDAM KULATHI,ABC,500G,0,280,,,
DAHATHEERTHAM,ABC,50G,0,65,,,
CASTOR OIL,ABC,100ML,0,60,,,
NEEM OIL(VEPANA),ABC,100ML,0,70,,,
MULTANIMITI ,ABC,100G,0,20,,,
MULTANIMITI (KAKANAD),ABC,30G,0,30,,,
KASTHURI MANJAL,ABC,40G,0,20,,,
NELIKA POWDER,ABC,40G,0,30,,,
PACHA KARPURAM,ABC,30G,0,40,,,
CHENNINAYAKAM,ABC,20G,0,20,,,
NALPAMARAM,ABC,40G,0,20,,,
MYLANCHI PODI,ABC,40G,0,30,,,
RECTHA CHANDANAM,ABC,25G,0,40,,,
NALPAMARA CHURANAM,ABC,40G,0,20,,,
KARI GEERAKAM,ABC,30G,0,30,,,
AYAMODAKAM,ABC,30G,0,30,,,
POTHIN DRAVAKAM,ABC,450ML,0,90,,,
MAHISHA DRAVAKAM SITARAM,ABC,450ML,0,100,,,
AGMODARKAM,ABC,450ML,0,90,,,
BOTTLE,ABC,200ML,0,6,,,
OUSNS GLASS,ABC,1NOS,0,50,,,